Time,energy_power_wind_turbine_offshore.output (MW),Installed capacity,CF
2030-01-01 00:00:00,11977.5118,11981,0.999708856
2030-01-01 01:00:00,11977.5118,11981,0.999708856
2030-01-01 02:00:00,11977.5118,11981,0.999708856
2030-01-01 03:00:00,11977.5118,11981,0.999708856
2030-01-01 04:00:00,11977.5118,11981,0.999708856
2030-01-01 05:00:00,11977.5118,11981,0.999708856
2030-01-01 06:00:00,11977.5118,11981,0.999708856
2030-01-01 07:00:00,11977.5118,11981,0.999708856
2030-01-01 08:00:00,11977.5118,11981,0.999708856
2030-01-01 09:00:00,11786.8071,11981,0.983791595
2030-01-01 10:00:00,11596.1025,11981,0.967874343
2030-01-01 11:00:00,10693.3443,11981,0.89252519
2030-01-01 12:00:00,9790.5862,11981,0.817176045
2030-01-01 13:00:00,9078.5327,11981,0.757744153
2030-01-01 14:00:00,7783.4989,11981,0.649653526
2030-01-01 15:00:00,7200.5186,11981,0.600994792
2030-01-01 16:00:00,7200.5186,11981,0.600994792
2030-01-01 17:00:00,6617.5383,11981,0.552336057
2030-01-01 18:00:00,6150.7238,11981,0.513373157
2030-01-01 19:00:00,5683.9093,11981,0.474410258
2030-01-01 20:00:00,4270.5584,11981,0.356444237
2030-01-01 21:00:00,3166.9831,11981,0.264333787
2030-01-01 22:00:00,2334.4614,11981,0.194846958
2030-01-01 23:00:00,1501.9396,11981,0.12536012
2030-01-02 00:00:00,823.6707,11981,0.068748076
2030-01-02 01:00:00,418.6065,11981,0.034939195
2030-01-02 02:00:00,209.3032,11981,0.017469594
2030-01-02 03:00:00,0,11981,0
2030-01-02 04:00:00,0,11981,0
2030-01-02 05:00:00,0,11981,0
2030-01-02 06:00:00,0,11981,0
2030-01-02 07:00:00,78.0789,11981,0.006516893
2030-01-02 08:00:00,156.1578,11981,0.013033787
2030-01-02 09:00:00,234.2367,11981,0.01955068
2030-01-02 10:00:00,312.3156,11981,0.026067574
2030-01-02 11:00:00,443.5399,11981,0.037020274
2030-01-02 12:00:00,443.5399,11981,0.037020274
2030-01-02 13:00:00,443.5399,11981,0.037020274
2030-01-02 14:00:00,574.7643,11981,0.047972982
2030-01-02 15:00:00,770.5252,11981,0.064312261
2030-01-02 16:00:00,1097.5105,11981,0.091604248
2030-01-02 17:00:00,1697.7006,11981,0.141699407
