Time,Production,Installed capacity,CF
2030-01-01 00:00:00,11431.2966,11981,0.954118738
2030-01-01 01:00:00,11491.2928,11981,0.95912635
2030-01-01 02:00:00,11641.2832,11981,0.971645372
2030-01-01 03:00:00,11911.266,11981,0.994179618
2030-01-01 04:00:00,11926.265,11981,0.995431517
2030-01-01 05:00:00,11956.2631,11981,0.997935323
2030-01-01 06:00:00,11941.264,11981,0.996683415
2030-01-01 07:00:00,11981.6612,11981,1
2030-01-01 08:00:00,11716.2784,11981,0.977904883
2030-01-01 09:00:00,11371.3004,11981,0.949111126
2030-01-01 10:00:00,10456.3588,11981,0.87274508
2030-01-01 11:00:00,10636.3473,11981,0.887767908
2030-01-01 12:00:00,11161.3138,11981,0.931584492
2030-01-01 13:00:00,11761.2755,11981,0.981660588
2030-01-01 14:00:00,11761.2755,11981,0.981660588
2030-01-01 15:00:00,11806.2727,11981,0.985416301
2030-01-01 16:00:00,11836.2707,11981,0.987920098
2030-01-01 17:00:00,11836.2707,11981,0.987920098
2030-01-01 18:00:00,11896.2669,11981,0.992927711
2030-01-01 19:00:00,11446.2956,11981,0.955370637
2030-01-01 20:00:00,11311.3043,11981,0.944103522
2030-01-01 21:00:00,11401.2985,11981,0.951614932
2030-01-01 22:00:00,11536.2899,11981,0.962882055
2030-01-01 23:00:00,11596.2861,11981,0.967889667
2030-01-02 00:00:00,11431.2966,11981,0.954118738
2030-01-02 01:00:00,11851.2698,11981,0.989172006
2030-01-02 02:00:00,11981.6612,11981,1
2030-01-02 03:00:00,11956.2631,11981,0.997935323
2030-01-02 04:00:00,11981.6612,11981,1
2030-01-02 05:00:00,11981.6612,11981,1
2030-01-02 06:00:00,11926.265,11981,0.995431517
2030-01-02 07:00:00,11866.2688,11981,0.990423905
2030-01-02 08:00:00,11956.2631,11981,0.997935323
2030-01-02 09:00:00,11866.2688,11981,0.990423905
2030-01-02 10:00:00,11641.2832,11981,0.971645372
2030-01-02 11:00:00,11446.2956,11981,0.955370637
2030-01-02 12:00:00,10951.3272,11981,0.914057858
2030-01-02 13:00:00,10351.3655,11981,0.863981763
2030-01-02 14:00:00,9826.399,11981,0.820165178
2030-01-02 15:00:00,7981.5168,11981,0.666181187
2030-01-02 16:00:00,7201.5666,11981,0.601082264
2030-01-02 17:00:00,5086.7016,11981,0.424564026
2030-01-02 18:00:00,4681.7274,11981,0.390762658
2030-01-02 19:00:00,3916.7762,11981,0.326915633
2030-01-02 20:00:00,4306.7513,11981,0.359465095
2030-01-02 21:00:00,4066.7667,11981,0.339434663
2030-01-02 22:00:00,4636.7303,11981,0.387006953
2030-01-02 23:00:00,6091.6374,11981,0.508441482
2030-01-03 00:00:00,4606.7322,11981,0.384503147
2030-01-03 01:00:00,6991.58,11981,0.58355563
2030-01-03 02:00:00,7081.5742,11981,0.591067039
2030-01-03 03:00:00,5806.6556,11981,0.484655338
2030-01-03 04:00:00,5461.6776,11981,0.455861581
2030-01-03 05:00:00,4531.737,11981,0.378243636
2030-01-03 06:00:00,5026.7054,11981,0.419556414
2030-01-03 07:00:00,5716.6613,11981,0.47714392
2030-01-03 08:00:00,5746.6594,11981,0.479647726
2030-01-03 09:00:00,6271.6259,11981,0.52346431
2030-01-03 10:00:00,6001.6432,11981,0.500930073
2030-01-03 11:00:00,6121.6355,11981,0.510945288
2030-01-03 12:00:00,4696.7264,11981,0.392014556
2030-01-03 13:00:00,4681.7274,11981,0.390762658
2030-01-03 14:00:00,3601.7963,11981,0.300625682
2030-01-03 15:00:00,3091.8289,11981,0.258061005
2030-01-03 16:00:00,3166.8241,11981,0.264320516
2030-01-03 17:00:00,2221.8844,11981,0.185450664
2030-01-03 18:00:00,2506.8662,11981,0.209236808
2030-01-03 19:00:00,2656.8567,11981,0.221755838
2030-01-03 20:00:00,3616.7954,11981,0.30187759
2030-01-03 21:00:00,3631.7944,11981,0.303129488
2030-01-03 22:00:00,2506.8662,11981,0.209236808
2030-01-03 23:00:00,2161.8882,11981,0.180443051
2030-01-04 00:00:00,2356.8758,11981,0.196717786
2030-01-04 01:00:00,2491.8672,11981,0.207984909
2030-01-04 02:00:00,4921.7121,11981,0.410793097
2030-01-04 03:00:00,7231.5647,11981,0.60358607
2030-01-04 04:00:00,8176.5043,11981,0.682455914
2030-01-04 05:00:00,8671.4727,11981,0.723768692
2030-01-04 06:00:00,9421.4249,11981,0.786363818
2030-01-04 07:00:00,7801.5283,11981,0.651158359
2030-01-04 08:00:00,8536.4814,11981,0.712501577
2030-01-04 09:00:00,9631.4115,11981,0.803890452
2030-01-04 10:00:00,9841.3981,11981,0.821417085
2030-01-04 11:00:00,9856.3971,11981,0.822668984
2030-01-04 12:00:00,10156.378,11981,0.847707036
2030-01-04 13:00:00,9106.445,11981,0.760073867
2030-01-04 14:00:00,9481.4211,11981,0.79137143
2030-01-04 15:00:00,10336.3665,11981,0.862729864
2030-01-04 16:00:00,10921.3291,11981,0.911554052
